row_type,file_or_group,method,category,module,metric,value,notes
ar_only_key,messages,,,,key,messages.employee_sessions.operating_systems.Linux,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.operating_systems.Unknown,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.operating_systems.Windows,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.operating_systems.iOS,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.operating_systems.macOS,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.options_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.password_confirmation_failed,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.revoked,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.revoked_all,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.root_super_admin_required,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.session_start_failed,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.sort.last_seen_desc,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.sort.logged_in_asc,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.sort.logged_in_desc,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.stats_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.status.active,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.status.expired,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.status.idle,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.status.logged_out,Missing in EN
ar_only_key,messages,,,,key,messages.employee_sessions.status.revoked,Missing in EN
ar_only_key,messages,,,,key,messages.reports.invalid_period,Missing in EN
ar_only_key,messages,,,,key,messages.reports.options_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.reports.overview,Missing in EN
ar_only_key,messages,,,,key,messages.reports.retrieved,Missing in EN
translation_file_parity,validation,,,,parity_pct,50.28,AR=90 EN=179 shared=90 AR-only=0 EN-only=89
en_only_key,validation,,,,key,validation.accepted_if,Missing in AR
en_only_key,validation,,,,key,validation.ascii,Missing in AR
en_only_key,validation,,,,key,validation.attributes.language,Missing in AR
en_only_key,validation,,,,key,validation.attributes.related_license_id,Missing in AR
en_only_key,validation,,,,key,validation.attributes.theme,Missing in AR
en_only_key,validation,,,,key,validation.can,Missing in AR
en_only_key,validation,,,,key,validation.contains,Missing in AR
en_only_key,validation,,,,key,validation.current_password,Missing in AR
en_only_key,validation,,,,key,validation.custom.attribute-name.rule-name,Missing in AR
en_only_key,validation,,,,key,validation.decimal,Missing in AR
en_only_key,validation,,,,key,validation.declined,Missing in AR
en_only_key,validation,,,,key,validation.declined_if,Missing in AR
en_only_key,validation,,,,key,validation.dimensions,Missing in AR
en_only_key,validation,,,,key,validation.distinct,Missing in AR
en_only_key,validation,,,,key,validation.doesnt_end_with,Missing in AR
en_only_key,validation,,,,key,validation.doesnt_start_with,Missing in AR
en_only_key,validation,,,,key,validation.ends_with,Missing in AR
en_only_key,validation,,,,key,validation.enum,Missing in AR
